cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
291731,8700,SIMPLES_NACIONAL,04ce0e58-86e5-4bf0-8d59-8f52bf3a30fd,1,19,3,28
291731,8700,SIMPLES_NACIONAL,677099a7-c679-4f89-be77-84ea561feff6,1,6,3,28
291731,8700,SIMPLES_NACIONAL,c3994bc8-4078-4383-97b5-c655bcc184e8,1,3,3,28
291731,8867,NORMAL,76fa0458-966c-4744-b1eb-e9eb08fe2e59,1,154,2,166
291731,8867,NORMAL,be01c342-86ce-47bf-b2b2-2154171795f5,1,12,2,166
291731,9642,NORMAL,a6cb752b-f41e-4a72-9375-64dfa34ca563,1,2,1,2
291731,9668,NORMAL,585dd350-005b-4474-993a-fe24853263fe,1,570,1,570
291731,9668,SIMPLES_NACIONAL,fa608f25-83ed-4524-9cc7-442035b2616a,1,18,1,18
291731,9668,SIMPLES_NACIONAL_EXCESSO_RECEITA_BRUTA,fa608f25-83ed-4524-9cc7-442035b2616a,1,3,1,3
291731,9783,SIMPLES_NACIONAL,8f0d622e-01f3-4b03-a5a6-a98057679664,1,3,1,3
990403,1872,SIMPLES_NACIONAL,a228be7b-c48f-44ec-951f-2e8d3b702d6f,1,9,1,9
1011205,9862,SIMPLES_NACIONAL,1ac9ae0d-c98f-4e6b-a367-5a31ce18a5d4,1,1455,1,1455
1012101,9668,NORMAL,19ce68f8-4b94-4a3e-827b-ccd533780210,1,1,1,1
1020101,9668,SIMPLES_NACIONAL,25cc8932-0600-4a61-8440-e526f98faafc,1,10,2,12
1020101,9668,SIMPLES_NACIONAL,c838ada2-e99f-453e-9e20-4179395fcef8,1,2,2,12
1053800,243,SIMPLES_NACIONAL,7842deb5-0d77-45a5-84fc-cf809949d6d0,1,1,1,1
1091102,3392,SIMPLES_NACIONAL,12700e7c-e549-4cfe-a58d-8065352e5e63,1,5,1,5
1091102,7043,SIMPLES_NACIONAL,16a1274d-3813-40b7-b373-d84c660a7d9d,1,1,1,1
1091102,8946,SIMPLES_NACIONAL,40a57d62-ef5b-450c-9f09-4a402c2e40ae,1,1,1,1
