cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,id_local_de_prestacao_nota,id_natureza_operacao_do_servico,aliquota_iss_nota,iss_retido_nota,aliquota_inss_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
230600,6015,SIMPLES_NACIONAL,0728c931-5a3f-45ee-8197-bb8325e67c20,6015,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,0,1,2,1,2
230600,7880,SIMPLES_NACIONAL,d728ee1a-b945-402a-b103-a8c4a0cedd1e,7396,e0a7ace2-6006-406b-860b-88c33bf20e61,3.5,false,0,1,1,1,1
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8343,,2,true,0,1,2,6,10
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8367,,3,true,0,1,2,6,10
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8521,,5,true,,1,1,6,10
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8521,,5,true,11,1,3,6,10
230600,8521,NORMAL,e2287d6c-379c-4fd7-9f4c-2b1d73e0210d,8521,,4,true,,1,1,6,10
230600,8521,NORMAL,e2287d6c-379c-4fd7-9f4c-2b1d73e0210d,8521,,4,true,11,1,1,6,10
230600,9668,SIMPLES_NACIONAL,38e90248-8f3b-4c89-aa86-09a7d1968d57,9668,14f7d7b3-7301-4cce-88fa-36b908d7a39a,0,false,0,1,2,1,2
291731,7994,NORMAL,269f2264-fdb0-4739-9fac-32d3cf80a3b4,7994,,0,false,0,1,186,1,186
291731,8700,SIMPLES_NACIONAL,04ce0e58-86e5-4bf0-8d59-8f52bf3a30fd,8700,,2.5,false,,1,1,1,1
291731,8867,NORMAL,be01c342-86ce-47bf-b2b2-2154171795f5,8867,,2,false,,1,1,1,1
291731,9668,NORMAL,585dd350-005b-4474-993a-fe24853263fe,9668,,2,false,,1,79,1,79
291731,9668,SIMPLES_NACIONAL,fa608f25-83ed-4524-9cc7-442035b2616a,9668,,0,false,0,1,1,2,3
291731,9668,SIMPLES_NACIONAL,fa608f25-83ed-4524-9cc7-442035b2616a,9668,,6,false,0,1,2,2,3
291731,9668,SIMPLES_NACIONAL_EXCESSO_RECEITA_BRUTA,fa608f25-83ed-4524-9cc7-442035b2616a,9668,,0,false,,1,1,1,1
291731,9783,SIMPLES_NACIONAL,8f0d622e-01f3-4b03-a5a6-a98057679664,9783,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3.21,false,,1,2,1,2
990403,1872,SIMPLES_NACIONAL,a228be7b-c48f-44ec-951f-2e8d3b702d6f,1841,,5,false,,1,1,1,1
1011205,9862,SIMPLES_NACIONAL,1ac9ae0d-c98f-4e6b-a367-5a31ce18a5d4,9862,,5,false,,1,142,1,142
1020101,9668,SIMPLES_NACIONAL,c838ada2-e99f-453e-9e20-4179395fcef8,9668,,4.25,false,,1,2,1,2
1113502,9551,SIMPLES_NACIONAL,55ff3f0c-70ce-4fb6-a639-61fd9ec0e754,8928,,2.01,false,0,1,1,2,4
1113502,9551,SIMPLES_NACIONAL,55ff3f0c-70ce-4fb6-a639-61fd9ec0e754,9668,,2.01,false,0,1,3,2,4
1321900,8390,SIMPLES_NACIONAL,e8750cef-809e-44ec-94f0-f31adfb60b2e,8390,,3.408,false,,1,4,1,4
1340501,2743,SIMPLES_NACIONAL,df044554-8ad7-4a74-aee0-953b725260c1,2743,,2.53,false,,1,6,2,8
1340501,2743,SIMPLES_NACIONAL,df044554-8ad7-4a74-aee0-953b725260c1,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3,false,,1,2,2,8
1340501,8946,SIMPLES_NACIONAL,40a57d62-ef5b-450c-9f09-4a402c2e40ae,8946,,2.01,false,,1,1,2,2
1340501,8946,SIMPLES_NACIONAL,6a636294-2cf6-45dd-8e0f-55a9d08da938,8946,,2.01,false,,1,1,2,2
1340599,2065,NORMAL,a77e6246-8d68-4b6c-9910-f6b72f6219fd,2065,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3,false,0,1,1,1,1
1340599,8609,SIMPLES_NACIONAL,51bd1541-403c-46ff-b36c-95eb7221bbed,8609,,3.3958,false,0,1,1,1,1
1340599,8982,SIMPLES_NACIONAL,da7eecd3-cb04-4112-bd02-b3a6a6fbb2e0,8982,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3,false,,1,4,1,4
1340599,9668,SIMPLES_NACIONAL,b8466708-996b-4c0d-9d32-195f0c8752f6,9668,,0,false,,1,3,1,3
1354500,2336,SIMPLES_NACIONAL,75a2443c-a917-4f79-83b1-1baf36c4f655,2069,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,,1,5,5,14
1354500,2336,SIMPLES_NACIONAL,75a2443c-a917-4f79-83b1-1baf36c4f655,2069,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,0,1,4,5,14
1354500,2336,SIMPLES_NACIONAL,75a2443c-a917-4f79-83b1-1baf36c4f655,2174,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,,1,3,5,14
1354500,2336,SIMPLES_NACIONAL,75a2443c-a917-4f79-83b1-1baf36c4f655,2174,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,true,,1,1,5,14
1354500,2336,SIMPLES_NACIONAL,75a2443c-a917-4f79-83b1-1baf36c4f655,2336,,3.2221,false,0,1,1,5,14
1359600,8864,SIMPLES_NACIONAL,8a846923-846c-43ff-ac68-6994727da42c,8864,,4.6,false,,1,1,1,1
1359600,9668,SIMPLES_NACIONAL,66f39592-c613-4aed-ab26-4ba31a9526b0,9668,14f7d7b3-7301-4cce-88fa-36b908d7a39a,5,false,,1,2,1,2
1412601,243,SIMPLES_NACIONAL,b10583ed-53db-4693-98a8-636677570d74,243,,2,false,,1,1,1,1
1412601,6015,SIMPLES_NACIONAL,ec5db61b-1638-4e87-a4d7-7cf9462829d9,6015,,0,false,0,1,2,1,2
1412601,9668,SIMPLES_NACIONAL,98d52dc3-bd69-447c-8c49-4bab6500b359,9668,14f7d7b3-7301-4cce-88fa-36b908d7a39a,0,false,0,1,1,1,1
1412602,7221,SIMPLES_NACIONAL,8899d6b3-6256-4129-8593-8f98630e4317,7221,,0,false,,1,4,1,4
1412602,7994,SIMPLES_NACIONAL,a4d91006-9e69-450f-adcc-46111e0d4045,7994,,0,false,,1,1,1,1
1413402,9130,SIMPLES_NACIONAL,533f6502-a98e-4420-bcd5-73cb45102836,9130,,2,false,,1,9,1,9
1414200,2743,SIMPLES_NACIONAL,3e7b2094-34c7-4949-8264-57106afb6026,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,,1,180,1,180
1422300,9551,SIMPLES_NACIONAL,786de6ea-498c-4cac-b33d-a0c7583b0ba5,9551,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.39,false,,1,1,1,1
